,text,Onlynouns,selectednouns
3842,最後庁舎駐車の駐車料金お答えし庁舎駐車の有料つきましては平成２月から実施しておりが間周辺道路まで及んでいた渋滞混雑もほぼ解消され利用しやすい環境が保たれているなど一定の効果が得られていると考えているござい駐車料金つきましては有料以降市民の皆様からいただいたなど踏まえ乳幼児対象と各種事業への参加のの駐車料金無料ほか庁舎の利用のは無料の超えた駐車料金から見直すなど駐車料金の負担軽減取り組んできたございこもれびホールやスポーツセンターなどの利用つきましても施設利用のなる増加向けまして指定管理おいて主催事業や教室事業の参加対象と独自の負担軽減実施しているござい庁舎駐車の運営当たりましては今後も利用しやすい駐車となる引き続き努めてまいりたいと考えており田無庁舎敷地の自転車駐車つきましては田無周辺立地しているも庁舎の利用のが駐輪している状況が見受けられるございこう現状踏まえ目的での利用抑制し庁舎の利用のとって利用しやすい駐輪場との方策の１つ自転車駐車の有料の検討行うでござい,"['最後庁舎駐車', '庁舎駐車', '有料', '平成2月', '実施', '間周辺道路', '渋滞混雑', '解消', '利用', '環境', '一定', '効果', '駐車料金', '有料以降市民', '乳幼児対象', '各種事業', '参加', '駐車料金無料ほか庁舎', '利用の', '無料', '駐車料金', '駐車料金', '負担軽減', 'ざいこもれびホール', 'スポーツセンター', '利用', '施設利用', '増加', '指定管理', '主催事業', '教室事業', '参加対象', '独自', '負担軽減実施', '庁舎駐車', '運営', '今後', '利用', '駐車', '田無庁舎敷地', '自転車駐車', '田無周辺立地', '庁舎', '利用の', '輪', '状況', '現状', '目的', '利用抑制', '庁舎', '利用', '利用', '駐輪場', '方策', '自転車駐車', '有料', '検討']",
3843,	:◯教育（）小学校・中学校おける道徳教育お答えいたし「特別の教科道徳」実施当たりこれまでの副読本かわって検定教科書使用授業実施しており児童生徒の学習状況や道徳係る成長の評価行っており道徳教育は学校教育全体通して行っていくでかなめ「特別の教科道徳」の授業が位置づけられており「特別の教科道徳」の授業おいては時間学ぶ道徳の内容項目自分だったらどの行動かよく考え考えたもと友達と話し合ういわゆる考え議論道徳の授業が行われており現在各学校おいては学習指導要領即道徳の授業が行われていると認識しておりが「特別の教科道徳」の各教科おいて計画道徳の伸長が図られるが課題でと捉えており西東京の道徳教育はこれからの時代生きる子どもさまざまな問い自分の問題受けとめさせ多様な他者と議論重ねながら納得解得る必要な資質や能力豊かな人間育む道徳教育推進していくが大切でと考えており私は道徳教育学校の閉じ込めるなく学校と家庭地域社会が連携し子どもと大人との触れ合い通じて自立人間育む取り組み進めてまいりたいと考えており,"['', '◯教育小学校', '中学校', '特別', '教科道徳', '実施当たりこれ', '副読本', '検定教科書使用授業実施', '児童生徒', '学習状況', '道徳', '成長', '評価', '道徳教育', '学校教育全体', 'かなめ', '特別', '教科道徳', '授業', '特別', '教科道徳', '授業', '時間', '道徳', '内容項目自分', '行動', '友達', '考え議論道徳', '授業', '現在', '学校', '学習指導要領', '道徳', '授業', '認識', '特別', '教科道徳', '教科', '計画道徳', '伸長', '課題', '西東京', '道徳教育', '時代', '子どもさまざま', '問い自分', '問題', '多様', '他者', '議論', '納得解', '必要', '資質', '能力豊か', '人間', '道徳教育推進', '大切', '道徳教育学校', '学校', '家庭地域社会', '連携', '子ども', '大人', '触れ合い', '自立人間', '取り組み']","['学習指導要領', '教科']"
3844,	:◯健康福祉部長（）の生活保護市長補足して答弁申し上げ保護開始おきましては担当ケースワーカーが家庭訪問など生活状況の把握自立へ向けた支援行っており就労の収入報告助言指導行いさら年度課税調査担当ケースワーカーが報告のない収入の把握努めており,"['', '◯健康福祉部長', '保護開始', '担当ケースワーカー', '家庭訪問', '生活状況', '把握自立', '支援', '就労', '収入報告助言指導行いさら年度課税調査担当ケースワーカー', '報告', '収入', '把握']",['就労']
3845,	:◯（）多くの答弁がとうござい再述べさせていただきたいと,"['', '◯多く']",
3846,は統合医療でＷＨＯが公表健康の社会決定要因最終報告ので人々が生まれゆく環境条件形成は政治社会経済な諸力でそして今こそ各国政府や市民社会ＷＨＯそしてほかの国際機関が世界の人々の生活改善連帯して行動起こすが不可欠で諸問題への対策求めてい国連が掲げる項目の持続可能な開発目標いわゆるＳＤＧｓ地球全体の環境整えるととも従来の健康対考え方拡大して健康と人間の幸福つまり人間よき存在目指すが宣言されてい統合医療はＷＨＯの健康の社会決定要因や国連の持続可能な開発目標考え方と軌一で人々の健康や病気影響与える社会経済政治環境な条件対政策提言と言えぜひ西東京おかれましても統合医療特社会モデルの考え方参考していただき世界な健康福祉都市のフロントランナー情報発信さら強化していただきたいと申し上げは終わりたいと,"['統合医療', 'WHO', '公表健康', '社会決定要因最終報告', '人々', '環境条件形成', '政治社会経済', '力', '今', '各国政府', '市民社会WHO', 'ほか', '国際機関', '世界', '人々', '生活改善連帯', '行動', '不可欠', '問題', '対策', '国連', '項目', '持続可能', '開発目標', 'SDGS地球全体', '環境', '従来', '健康対考え方拡大', '健康', '人間', '幸福', '人間', '存在', '宣言', '統合医療', 'WHO', '健康', '社会決定要因', '国連', '持続可能', '開発目標考え方', '軌一', '人々', '健康', '病気影響', '社会経済政治環境', '条件対政策提言', '西東京', '統合医療特社会モデル', '考え方参考', '世界', '健康福祉都市', 'フロントランナー情報発信さら強化']",
3847,次道徳教育で答弁がとうござい深い考えと議論通じて自立人間育てる道徳教育が目指す方向は理解いたしで「特別の教科道徳」実施していくでさまざまな取り組みがなされているとが具体どんな重点的取り組まれているか道徳の教科計画道徳の伸長図るが課題でとの答弁がどの実施していくか学校と家庭地域社会が連携して道徳教育取り組んでいくとがこちらも具体どの進めていこうと考えておられるか,"['道徳教育', '考え', '議論', '自立人間', '道徳教育', '方向', '理解', '特別', '教科道徳', '実施', 'さまざま', '取り組み', '具体', '重点的', '道徳', '教科計画道徳', '伸長', '課題', '実施', '学校', '家庭地域社会', '連携', '道徳教育', '具体']",
3848,次花関してが西東京公園配置計画おける「大きな公園は個性活かリニューアルしよう」とが大きな公園とは具体ど公園の指すか,"['花', '西東京公園配置計画', '公園', '個性活', 'リニューアル', '公園', '具体', '公園']",
3849,次市民会館使用団体のアフターフォローが答弁は理解いただ実際市民会館が使用できなくなって代替施設が見つからず困っている団体具体空手の団体から私は相談受けているが東京オリンピック前今空手が男女含め盛り上がっている練習場所が確保できない今まで練習の曜日固定していたから選手の皆さんも予定組んで練習励んでいたの代替施設のきらっとの抽選外れれば週は練習ができず不安定な状況置かれてい団体も市民会館閉鎖伴い不利益こうむっている団体は幾つ一刻も早く状況改善していただき安心して練習できる環境つくっていただきたいと件は今後も注視してまいりので引き続きよろしくお願い申し上げ,"['市民会館使用団体', 'アフターフォロー', '理解', '市民会館', '使用', '代替施設', '団体具体空手', '団体', '相談', '東京オリンピック', '空手', '男女', '練習場所', '確保', '今', '練習', '曜日固定', '選手', '皆さん', '予定', '練習', '代替施設', '抽選', '週', '練習', '不安定', '状況', '団体', '市民会館閉鎖', '不利益', '団体', '幾つ一刻', '状況改善', '安心', '練習', '環境', '件', '今後', '注視', 'お願い']","['市民会館', '東京オリンピック']"
3850,次スポーツ振興で体育協会や関係団体と連携しスポーツ団体スポーツイベントなど通じてスポーツ人口の底辺拡大取り組んでいるは理解いたし私はティーボール競技の審判の資格持っておるがティーボール競技はピッチャーのいないソフトボールでましてティーの丸いボール乗せて切り打つ競技でスリーアウトなくてで攻撃して全員で守る競技とまっているボール打つ三振がなく攻撃が目まぐるしく展開し幼稚園でも障害のでも男女関係なくプレーできる競技でございピッチャーの力量左右されないので子どもは目輝かせながらバット振っていティーボールの最大の目的は僕はできるやればできる運動有能高め自分自信持って運動の分野も積極チャレンジ子ども育てる私はこういったスポーツ通じて自己肯定高めいろんな人とつながっていくがとても重要だと考えており最近は西東京のスポーツ関して明るい話題も多く昨年は男子一般のソフトボールチームのチーム西東京が都大会優勝果たし全国大会出場しも先日６月行われた女子の西東京代表チームが決勝対で圧倒的な力で優勝し全国大会出場決めほか卓球やバドミントンなど都大会全国大会レベルの選手が次々誕生しておりオリンピック契機これからさらスポーツブームは過熱が予想され今後も市民の皆様がスポーツ親しみ心身とも健康なりまちの活性つながるの方策ソフトハード両面から検討続けていただきたいと申し上げも終わりたいと,"['スポーツ振興', '体育協会', '関係団体', '連携', 'スポーツ団体スポーツイベント', 'スポーツ人口', '底辺拡大', '理解', 'ティーボール競技', '審判', '資格', 'ティーボール競技', 'ピッチャー', 'ソフトボール', 'ティー', 'ボール', '競技', 'スリーアウト', '攻撃', '全員', '競技', 'ボール', '三振', '攻撃', '展開', '幼稚園', '障害', '男女関係', 'プレー', '競技', 'ピッチャー', '力量左右', '子ども', '目', 'バット', 'ティーボール', '最大', '目的', '運動有能高め自分自信', '運動', '分野', '積極チャレンジ子ども', 'スポーツ', '自己肯定高め', '人', '重要', '最近', '西東京', 'スポーツ', '話題', '昨年', '男子一般', 'ソフトボールチーム', 'チーム西東京', '都大会優勝', '全国大会出場', '先日6月', '女子', '西東京代表チーム', '決勝対', '圧倒的', '力', '優勝', '全国大会出場', 'ほか卓球', 'バドミントン', '都大会全国大会レベル', '選手', '誕生', 'オリンピック契機', 'さらスポーツブーム', '過熱', '予想', '今後', '市民', 'スポーツ親しみ心身', '健康', 'まち', '活性', '方策ソフトハード両面', '検討']",['幼稚園']
3851,次特殊詐欺やテロ対策などで私はメールけいしちょう登録しているがほぼ毎日田無警察管内で発生特殊詐欺や子ども狙った犯罪知らせる通知が来警察や地域の皆様の協力刑法の認知件数は減少傾向とのが子どもやお年寄り市民の大切な命守るも今後も官民連携して防犯の取り組みお願いいたいと,"['特殊詐欺', 'テロ対策', 'メールけいしちょう登録', '毎日田無警察管内', '発生特殊詐欺', '子ども', '犯罪', '通知', '警察', '地域', '協力刑法', '認知件数', '減少傾向', '子ども', '年寄り市民', '大切', '命', '今後', '官民連携', '防犯', '取り組みお願い']","['犯罪', '官民連携']"
3852,テロ対策でのリオデジャネイロ・オリンピックは全世界で約が中継放送聴いたし東京オリンピックもそれと同等かそれの視聴が予想されこれだけの注目集める大会でテロがもし発生すれば世界なインパクトは極めて大きなとなりテロの未然防止全期しつつ対処能力向上させ被害最小限とどめるでテロリストの狙った効果出させない視点が重要だと考え近年は組織なテロ集団のみならずローンウルフインターネットで思想な影響受けた単独もしくは少数集団が母国攻撃いわゆるホームグロウンのテロもふえており田無警察はテロ対策パートナーシップ民間会社と結び多摩科学でし２月官民連携市民合同のテロ対策訓練などが行われていると承知しておりが今後も国や東京警察いは民間会社などと緊密連携いたしましてテロ組織や危険分子情報収集し西東京おける脆弱の分析行い予期せぬ脅威から市民の安全守る実効な対策講じていただきお願い申し上げても終わりたいと,"['テロ対策', 'リオデジャネイロ', 'オリンピック', '世界', '中継放送', '東京オリンピック', '同等', '視聴', '予想', '注目', '大会', 'テロ', '発生', '世界', 'インパクト', 'となりテロ', '未然防止全期', '対処能力向上', '被害最小限', 'テロリスト', '効果', '視点', '重要', '近年', '組織', 'テロ集団', 'ローンウルフインターネット', '思想', '影響', '単独', '少数集団', '母国攻撃', 'ホームグロウン', 'テロ', '田無警察', 'テロ対策パートナーシップ民間会社', '結び多摩科学', '2月官民連携市民合同', 'テロ対策訓練', '承知', '今後', '国', '東京警察い', '民間会社', '緊密連携', 'テロ組織', '危険分子情報収集', '西東京', '脆弱', '分析行い予期', '脅威', '市民', '安全', '実効', '対策', 'お願い']","['オリンピック', '東京オリンピック', '近年']"
3853,次プラスチックごみが現状全量資源行っており本市おける中国の輸入禁止いは東南アジアの輸入規制伴う影響はないと理解いたしがバーゼル条約改正はこれまでごみ減量対取り組みが重要なると考えており日本のプラスチック廃棄の発生はアメリカ中国続く世界第で先日の報道でもめどレジの有料義務検討と過剰なラップの包装やストローお弁当の容器などプラスチック頼った生活見直し環境汚染環境負荷の少ない代替がないか目の前の容器やレジが本当必要なか我々が考え転換していく必要がと先日からの答弁いはの先進の取り組みなども参考していただき今後も本市の積極なごみ減量の取り組みお願いいたしましても終わりたいと,"['プラスチックごみ', '現状全量資源', '市', '中国', '輸入禁止い', '東南アジア', '輸入規制', '影響', '理解', 'バーゼル条約改正', 'ごみ減量対取り組み', '重要', '日本', 'プラスチック廃棄', '発生', 'アメリカ中国', '世界', '先日', '報道', 'めどレジ', '有料義務検討', '過剰', 'ラップ', '包装', 'ストロー', '弁当', '容器', 'プラスチック', '生活見直し環境汚染環境負荷', '代替', '目', '前', '容器', 'レジ', '本当必要', '転換', '必要', '先日', '先進', '取り組み', '参考', '今後', '本市', '積極', 'ごみ減量', '取り組みお願い']",
3854,次生活保護で不正受給対対策などは理解いたしそこでもう少し具体平成の不正受給の件数そして主な発見の端緒不正対応などし４月からの被保護への就労準備支援制度制度の対象人数と実際支援つながった人数がわかれば教えていただきたいと,"['生活保護', '不正受給対対策', '理解', '具体平成', '不正受給', '件数', '主', '発見', '端緒不正対応', '4月', '保護', '就労準備支援制度制度', '対象人数', '支援', '人数']",
3855,最後公共施設の駐車料金などで駐車料金の負担軽減の取り組みは理解いただいまだ多くの施設利用の皆様が高いなと感じられているは事実だと基本施設利用すればからかかるが通常から不正利用防止しつつ利用の負担が軽減される取り組み今後も検討していただきたいと問題は近隣自治体などの状況私も調べながら今後も注視してまいりたいと自転車駐車つきましても有料はあくまで方策の一つと理解いたしが市民のが不安抱かれない丁寧な議論進めていただきたいと申し上げては終わり,"['最後公共施設', '駐車料金', '駐車料金', '負担軽減', '取り組み', '理解', '多く', '施設利用', '事実', '基本施設利用', '通常', '不正利用防止', '利用', '負担', '軽減', '取り組み今後', '検討', '問題', '近隣自治体', '状況私', '今後', '注視', '自転車駐車', '有料', '方策', '一つ', '理解', '市民の', '不安', '丁寧', '議論']",['通常']
3856,再よろしくお願い申し上げ,['お願い'],
3857,	:◯教育部長（）道徳教育の再お答えいたし学校道徳教育実施当たり学校重点項目決めて計画取り組んでおり西東京市立学校おいて重点項目多くの学校が取り上げているは生命尊重や親切やり公平公正などの項目なっておりこれらの項目は学校の実態合わせて決めたで内容項目授業の回数ふやり内容工夫りして実施しているでござい,"['', '◯教育部長道徳教育', '学校道徳教育実施当たり学校重点項目', '計画', '西東京市立学校', '重点項目多く', '学校', '生命尊重', '親切', '公平公正', '項目', '項目', '学校', '実態', '内容項目授業', '回数', '内容工夫', '実施']",
3858,次各教科での道徳の伸長でござい道徳教育は全教育活動通して行うで国語や社会音楽などの各教科などおいても教科の特性合わせて道徳伸ばす指導行っており「特別の教科道徳」の時間は各教科の時間で育成道徳補い深め関連づけて新たな感じや考え方生み出すの時間となり道徳教育おけるかなめの役割果たす時間となり各教科おいて伸ばす道徳つきましては各教科の「特別の教科道徳」の関連づけた一覧作成し年間通して計画実施できる指導してまいり,"['次', '教科', '道徳', '伸長', '道徳教育', '教育活動', '国語', '社会音楽', '教科', '教科', '特性', '道徳', '指導', '特別', '教科道徳', '時間', '教科', '時間', '育成道徳補い', '新た', '感じ', '考え方', '時間', '道徳教育', 'かなめ', '役割', '時間', '教科', '道徳', '教科', '特別', '教科道徳', '一覧作成', '年間', '計画実施', '指導']","['教科', '教科', '教科', '教科', '教科', '教科']"
3859,次学校家庭地域が連携して取り組む道徳教育お答えいたし子どもの道徳は学校だけでなく家庭や地域での生活場面おいても育ち学校家庭地域が育てたい道徳共有しそれぞれの立場で子ど姿見て褒めたり励りが望ましいと考えており学校毎年道徳授業地区公開講座開催し「特別の教科道徳」の授業参観行ったり講演開催り交換行うなど家庭や地域のと心の教育話し合いとも考える機会設けており地域のゲストティーチャー迎えて「特別の教科道徳」の授業行ったり家庭から子ども対して手紙書いてもらいそれ教材授業行うなどしているござい学校家庭地域が連携して子どもと大人との触れ合い通じて自立人間育む取り組み進めるが大切でと考えており,"['学校家庭地域', '連携', '子ども', '道徳', '学校', '家庭', '地域', '生活場面', '学校家庭地域', '道徳共有', 'それぞれ', '立場', '子', '姿見', '励', '学校毎年道徳授業地区公開講座開催', '特別', '教科道徳', '授業参観', '講演開催', '交換', '家庭', '地域の', '心', '教育話し合い', '機会', '地域', 'ゲストティーチャー', '特別', '教科道徳', '授業', '家庭', '子ども', '手紙', 'それ教材授業', '学校家庭地域', '連携', '子ども', '大人', '触れ合い', '自立人間', '取り組み', '大切']",
3860,	:◯みどり環境部長（）花の再お答えいたし公園配置計画おきましては西東京いこいの公園谷戸せせらぎ公園文理公園西原自然公園など比較的大きな公園おり,"['', '◯みどり環境部長花', '公園配置計画', '西東京いこい', '公園谷戸せせらぎ公園文理公園西原自然公園', '公園']",
3861,"	:◯健康福祉部長（）生活保護再お答えいたし平成おいて不実の申請他不正な手段生活保護受けた場合適用生活保護第適用件数はでござい課税調査判明がとなり引き続き関係機関と連携しながら厳正対処など生活保護の適正実施努めてまいりなおの徴収決定の合計は約,でござい","['', '◯健康福祉部長生活保護', '平成', '不実', '申請', '不正', '手段生活保護', '場合適用生活保護', '適用件数', '課税調査判明', 'となり', '関係機関', '連携', '厳正対処', '生活保護', '適正実施', '徴収決定', '合計', ',']",
3862,次被保護就労準備支援事業の対象人数と利用お答えいたし利用対象つきましては約想定しており５月現在のが支援つながりの利用申請いただいておりので引き続き事業丁寧説明しながら自立向けた支援実施してまいり,"['次', '保護就労準備支援事業', '対象人数', '利用対象', '想定', '5月現在の', '支援つながり', '利用申請', '事業丁寧説明', '自立', '支援実施']",
3863,	:◯（）少し順不同でそれぞれ述べて終わりたいと,"['', '◯', '順不同', 'それぞれ']",
3864,花で先月ＮＰＯ法人西東京花の会の代表のとお会いしてお話伺ってまいり花の会市内約の公園や植え込み春と秋植栽し維持管理されているとの私保谷ローズガーデンも拝見してまいりが住宅の色とりどりのバラが植栽されておりましてとても見事なで代表のの言葉花の持つ力それは花見ていて美しいと癒されるだけなくて花通して人とつながれるは花愛人悪い人はいないとおっしゃっていが気軽ができるがとても大きい西東京と働で進めるオープンガーデン事業こちらは納田も参加されているが花通して地域コミュニティが活性は大変すばらしいだと私は考えており先日の納田ののオリンピックのまちヒマワリで彩るは私は大変興味深いアイデアだと感じており西東京の夏の花はヒマワリオリンピックが開催されるもちょうど夏真っ盛りの時期でござい花で彩られた美しいまち世界発信いいチャンスだと思っておりいずれいたしましても今後いこいの森や文理公園など大きな公園リニューアル市民の声取り上げていただき市民が愛し誇り持てるな花で彩られた西東京の名所一緒つくっていただきたいと申し上げて終わりたいと,"['花', '先月NPO法人西東京花', '会', '代表', 'お話', '花', '会市内約', '公園', '植え込み春', '秋植栽', '維持管理', '私保谷ローズガーデン', '拝見', '住宅', '色とりどり', 'バラ', '植栽', '見事', '代表', '言葉花', '力それ', '花', '花', '人', '花愛人', '人', '気軽', '西東京', '働', 'オープンガーデン事業こちら', '納田', '参加', '花', '地域コミュニティ', '活性', '大変', '先日', '納田', 'オリンピック', 'まちヒマワリ', '大変', 'アイデア', '西東京', '夏', '花', 'ヒマワリオリンピック', '開催', '夏真っ盛り', '時期', '花', 'まち世界発信', 'チャンス', '今後いこい', '森', '文理公園', '公園リニューアル市民', '声', '市民', '花', '西東京', '名所一緒']",['オリンピック']
3865,"次生活保護での不正受給で決定が,と私は正直驚きいずれいたしましても生活保護制度は市民の皆様の理解と納得の成り立つで公正運用されるが何だと今後も不正受給の防止一層努めていただきお願い申し上げ","['生活保護', '不正受給', '決定', ',', '正直', '生活保護制度', '市民', '理解', '納得', '公正運用', '今後', '不正受給', '防止', 'お願い']",
3866,続いて就労準備支援でがのが支援つながりの利用申請いただいているとのこれはもしかしてちょっと難しいかもしれないが私実は精神な疾患持った被保護のとかおつき合いがまして方今４月から就労準備支援制度が始まるよな話何か夢や目的持っていただいたか生活ががらっと変わって──人はなかなかパチンコがやめられなかったね保護もらってパチンコなんてけしからぬとおっしゃるとは思うがなかなかそこから抜け出せなかったしかし私とかかわるでかこういう話でパチンコ習慣がぴたっとやんで働きたい生活変えていきたい夢持つなったねただは精神な疾患お持ちもあってなかなか就労準備支援つながりくいかな感じておりしかし私はいう頑張ろうやろうの気持ちどうか寄り添って一緒進んでいただきたいが今後も精神な疾患持った対支援の輪広げていただいて何とかサポートしていただけるな検討していただきたいと考えておりそれは私のお願い申し上げて終わりたいと,"['就労準備支援', '支援つながり', '利用申請', '精神', '疾患', '保護の', 'つき合い', '方今4月', '就労準備支援制度', '話何', '夢', '目的', '生活', '人', 'パチンコ', '保護', 'パチンコ', '話', 'パチンコ習慣', '生活', '夢', 'ただ', '精神', '疾患', '就労準備支援つながり', 'ろう', '気持ち', '一緒', '今後', '精神', '疾患', '対支援', '輪', 'サポート', '検討', 'お願い']",
3867,最後道徳教育で生命尊重ややりなど重点項目道徳の教科とも関連づけて全体道徳伸ばす地域や家庭と連携しながら子どもととも考えていく取り組みは大変すばらしいだと私は考えており私も小学から中学までの道徳の教科書読ませていただき自分自身ほかの人とのかかわり集団や社会とのかかわり生命や自然崇高なとのかかわりそれぞれのテーマ沿ったとても考えさせられる胸打つな話が多くてこういった話通じて友人先生いは自分の両親家庭で議論深めていくはの人生大変よい影響がんだろうなと私は感じ今正解のない時代おいてみずから学び考え議論自立子どもの育成私はとても期待,"['最後道徳教育', '生命尊重', '重点項目道徳', '教科', '全体道徳', '地域', '家庭', '連携', '子ども', '取り組み', '大変', '小学', '中学', '道徳', '教科書', '自分自身ほか', '人', 'かかわり集団', '社会', 'かかわり生命', '自然崇高', 'かかわりそれぞれ', 'テーマ', '胸', '話', '話', '友人先生い', '自分', '両親家庭', '議論', '人生大変', '影響がん', '正解', '時代', '考え議論自立子ども', '育成私', '期待']",['教科']
3868,時間もまだ最後中学の道徳の教科書の冒頭「かけがえのない君どう生きる」作品紹介して私の終わりたいと,"['時間', '最後中学', '道徳', '教科書', '冒頭', 'かけがえ', '作品紹介']",
3869,前見よ！豊穣たる海はるかかなた地平線が見えるそして向こう君が目指す何かがそれが何かはまだ分からないしかし確実は今豊穣たる海航海出ただ荒波もおし寄せてくるあれくるう台風出会うかもしれないどんな苦しくてもぎりしめたかじはなしてはならぬどんなあらしも負けない知恵と技と体力北極星のごとく航海の指針となる目標と夢向かう強靱な精神身つけねばならぬ学ぶが道徳の授業なだ心実践し頭と心と体きたえていくが日々の学校生活でさあ豊穣たる海力強く航海し続けるみんなといっしょ考えようかけがえのない私どう生きる,"['前', '豊穣', '海はるかかなた地平線', '確実', '今豊穣', '海航海出', '荒波', 'おし', '台風', 'ぎりしめたかじはなしてはならぬどんなあらしも', '知恵', '技', '体力北極星', '航海', '指針', '目標', '夢', '強靱', '精神身', '道徳', '授業', '心実践', '頭', '心', '体', '日々', '学校生活', '豊穣', '海', '航海', 'いっしょ', 'かけがえ']",['台風']
3870,私の一般終わりがとうござい,['一般'],
3871,	:◯（）議長のお許しいただきので通告従いさせていただき,"['', 'お許し', '通告']",
3872,中学校教育お伺いいたし,['中学校教育'],
3873,"はＩＣＴの推進西東京夢の実現向けてチャレンジ中学生応援機会設け将来向けて自己実現図っていく必要な力養う目的と夢・未来講演実施しており市のホームページ「市立中学校の代表生徒が自分の夢実現今できる協議り社会で活躍しているよる講演通して中学生が職業や倫理学んだり」機会で「生徒自身が開催までの準備主体進めてきたも本講演の特徴の一つ」と記載されており中学生が広い視野身つけるもみずからが通学中学校の生徒と交流しみずからの発表し切磋琢磨お互いのや考え知る機会は非常重要と考えしよい企画とがせっかくの機会も西東京全中学生,集めるは困難で一部の希望生徒が代表し参加しているが現状で教育基本うたわれよう全ての生徒はひとしく能力応じた教育受ける権利持ち平成都教育委員の報告都内おいても全生徒の約が公立中学校へと進学し未来の市内公立中学校通う全ての子ども機会与えたいだろう考える多くの企業遠隔との会議ＩＣＴ用いたいわゆるテレビ会議などが一般行われており国もＩＣＴの活用とかデジタル教科書の使用許可しており中学校の教室テレビ会議ができるシステムがあれば市内全校の生徒が同じ経験共有ができる夢が膨らみね外国の同世代の子どもと時差が少ない国であれば直接の対話も可能なっていき恐らく会話は事実の国際で英語使うなるが現実ＩＣＴの導入も英語教育もそれが目的なくきちんと手段生かす環境つくるができるのないかとさら現在夢・未来講演は希望のみとなる関係で休日開催しておりもし全生徒がかかわるができるであればこれも平日行うも可能なるのないか考えており","['CT', '推進西東京夢', '実現', 'チャレンジ中学生応援機会設け将来', '自己実現', '必要', '力', '目的', '夢', '未来講演実施', '市', 'ホームページ', '市立中学校', '代表生徒', '自分', '夢実現今', '協議', '社会', '活躍', '講演', '中学生', '職業', '倫理', '機会', '生徒自身', '開催', '準備主体', 'も本講演', '特徴', '一つ', '記載', '中学生', '視野身', 'みずから', '通学中学校', '生徒', '交流しみず', '発表', '切磋琢磨お互い', '考え', '機会', '非常重要', '企画', '機会', '西東京', '中学生,', '困難', '一部', '希望生徒', '代表', '参加', '現状', '教育基本', '全て', '生徒', '能力', '教育', '権利', '平成都教育委員', '報告都内', '生徒', '公立中学校', '進学', '未来', '市内公立中学校', '全て', '子ども機会', '多く', '企業遠隔', '会議CT', 'テレビ会議', '一般', '国', 'CT', '活用', 'デジタル教科書', '使用許可', '中学校', '教室テレビ会議', 'システム', '市内全校', '生徒', '経験共有', '夢', '外国', '世代', '子ども', '時差', '国', '直接', '対話', '可能', '会話', '事実', '国際', '英語', '現実CT', '導入', '英語教育', '目的', '手段', '環境', 'さら現在夢', '未来講演', '希望', '関係', '休日開催', '生徒', '平日', '可能']",['外国']
3874,は部活動指導の活用及び外部スポーツ団体との連携お伺いいたし西東京教育委員平成９月西東京市立中学校係る運動活動の方針示しており先ほど答弁のでも少し触れられており中教育委員は各学校の生徒や教師の活動指導の配置状況や校分担の実態踏まえ活動指導学校配置なお学校教育理解し適切な指導行う部活動指導対し計画研修行う教育委員及び校長は教師の運動活動への関与学校おける働き改革緊急対策──これは文部科学大臣決定ね──及び学校おける働き改革緊急対策の策定並び学校おける業務改善及び勤務時間管理係る取組の徹底──これは文部科学事務次官通知なりね──踏まえ法令則り業務改善及び勤務時間管理行うとされてい平成月西東京教育委員が示学校おける働き改革推進プランおいても中学校教職員の長時間労働の原因の１つ活動が挙げられており部活動指導は教育重要な部分が教師が本来の業務で授業注力できる環境つくる部活動指導や西東京体育協会などとの連携さら進めていくが重要なるだろうと考え演劇などの文化活動も特これは専門と教員が少ない外部団体とか地域の専門との連携が重要なるだろうと考え,"['部活動指導', '活用', '外部スポーツ団体', '連携', '西東京教育委員平成9月西東京市立中学校', '運動活動', '方針', '教育委員', '学校', '生徒', '教師', '活動指導', '配置状況', '校分担', '実態', '活動指導学校配置', '学校教育理解', '適切', '指導', '部活動指導', '計画研修', '教育委員', '校長', '教師', '運動活動', '関与学校', '働き改革緊急対策', '文部科学大臣決定', '学校', '働き改革緊急対策', '策定並び学校', '業務改善', '勤務時間管理', '取組', '徹底', '文部科学事務次官通知', '法令', '業務改善', '勤務時間管理', '平成月西東京教育委員', '示学校', '働き改革推進プラン', '中学校教職員', '長時間労働', '原因', '活動', '部活動指導', '教育重要', '部分', '教師', '本来', '業務', '授業注力', '環境', '部活動指導', '西東京体育協会', '連携さら', '重要', '演劇', '文化活動', '特これ', '専門', '教員', '外部団体', '地域', '専門', '連携', '重要']",['校長']
